building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,city,country,state
928,2,2016-01-01 12:00:00,131.15,9,Education,179115,,,6.7,4.0,1.1,-1.0,1030.0,30.0,4.1,San Antonio,USA,TX
928,1,2016-01-01 18:00:00,246.004,9,Education,179115,,,8.3,,1.1,0.0,1033.0,10.0,5.1,San Antonio,USA,TX
928,2,2016-01-02 01:00:00,179.95,9,Education,179115,,,7.2,,-0.6,0.0,1033.0,340.0,2.6,San Antonio,USA,TX
928,2,2016-01-02 05:00:00,179.95,9,Education,179115,,,7.2,,-2.2,0.0,1034.0,360.0,2.6,San Antonio,USA,TX
928,1,2016-01-02 11:00:00,249.099,9,Education,179115,,,6.7,,0.0,0.0,1031.0,360.0,2.1,San Antonio,USA,TX
928,1,2016-01-02 12:00:00,242.03,9,Education,179115,,,6.7,,-0.6,0.0,1031.0,,2.1,San Antonio,USA,TX
928,0,2016-01-02 22:00:00,308.0,9,Education,179115,,,7.8,,1.1,-1.0,1028.0,0.0,0.0,San Antonio,USA,TX
928,1,2016-01-03 09:00:00,121.05,9,Education,179115,,,5.6,,5.0,0.0,1027.0,0.0,0.0,San Antonio,USA,TX
928,2,2016-01-03 10:00:00,0.0,9,Education,179115,,,5.6,,4.4,0.0,1027.0,290.0,1.5,San Antonio,USA,TX
928,1,2016-01-04 22:00:00,0.0,9,Education,179115,,,13.9,0.0,0.0,0.0,1026.0,,2.1,San Antonio,USA,TX
928,0,2016-01-05 05:00:00,296.0,9,Education,179115,,,3.9,0.0,0.6,0.0,1027.0,0.0,0.0,San Antonio,USA,TX
928,2,2016-01-05 07:00:00,195.2,9,Education,179115,,,5.0,0.0,0.6,0.0,1026.0,30.0,2.1,San Antonio,USA,TX
928,2,2016-01-05 10:00:00,237.9,9,Education,179115,,,3.3,0.0,0.6,0.0,1026.0,0.0,0.0,San Antonio,USA,TX
928,2,2016-01-06 01:00:00,128.1,9,Education,179115,,,11.1,,3.9,0.0,1023.5,,1.5,San Antonio,USA,TX
928,1,2016-01-06 02:00:00,297.033,9,Education,179115,,,10.6,,3.9,0.0,1024.0,,2.6,San Antonio,USA,TX
928,0,2016-01-06 17:00:00,336.0,9,Education,179115,,,8.9,,5.6,0.0,1021.0,110.0,2.6,San Antonio,USA,TX
